GameFileName,GameName,GameDisplay,MediaSearch,Manufact,GameYear,NumPlayers,GameType,Category,GameTheme,WebLinkURL,IPDBNum,AltRunMode,DesignedBy,Author,GAMEVER,Rom,Tags
Atlantis (Bally 1989),Atlantis (Bally 1989),Atlantis (Bally 1989),,Bally,1989,4,SS,,Myth and Legend - Water Sports,http://www.ipdb.org/machine.cgi?id=106,106,,Jeff Brenner,"Herweh, Schreibi34, 32assassin, OldSkoolGamer, Cosmic80, ICPjugglah, DCrosby, Bord, Rosve, Vogliadicane, Flupper, Ninuzzu, Dark, nFozzy, DJRobX, Rothbauerw, Thalamus",1.1,atlantis,
Atlantis (Gottlieb 1975),Atlantis (Gottlieb 1975),Atlantis (Gottlieb 1975),,Gottlieb,1975,1,EM,,Fantasy - Mythology,http://www.ipdb.org/machine.cgi?id=105,105,,Peter Perry,"Loserman76, BodyDump, GNance, Arngrim, JPSalas, Pinuck, HauntFreaks, BorgDog",1.0c,,
Atleta (Inder 1991),Atleta (Inder 1991),Atleta (Inder 1991),,Inder,1991,4,SS,,Sports - Athletics - Track and Field,http://www.ipdb.org/machine.cgi?id=4095,4095,,?,Hmueck,1.0,atleta,
Attack and Revenge from Mars (Original 2015),Attack and Revenge from Mars (Original 2015),Attack and Revenge from Mars (Original 2015),,Original,2015,,SS,,Aliens - Martians - Fantasy,Not Available,,,?,JPSalas,2.0.2,afm_113,
Attack from Mars (Bally 1995),Attack from Mars (Bally 1995),Attack from Mars (Bally 1995),,Bally,1995,4,SS,,Aliens - Martians - Fantasy,http://www.ipdb.org/search.pl?any=attack+from+mars&search=Search+Database&searchtype=quick,,,Brian Eddy,"Cyberpez, JPSalas, Dozer, Wrd1972, Rothbauerw, HauntFreaks, ClarkKent, Randr, Flupper, DJRobX, RustyCarcores, nFozzy, The Loafer, Arngrim, TheMotherBrain",1.0,afm_113b,
Attack from Mars (Bally 1995),Attack from Mars (Bally 1995),Attack from Mars (Bally 1995),,Bally,1995,4,SS,,Aliens - Martians - Fantasy,http://www.ipdb.org/search.pl?any=attack+from+mars&search=Search+Database&searchtype=quick,,,Brian Eddy,"Bigus1, JPSalas, Arngrim",1.0,afm_113b,
Attack from Mars (Bally 1995),Attack from Mars (Bally 1995),Attack from Mars (Bally 1995),,Bally,1995,4,SS,,Aliens - Martians - Fantasy,http://www.ipdb.org/search.pl?any=attack+from+mars&search=Search+Database&searchtype=quick,,,Brian Eddy,Groni,1.0,afm_113b,
Attack from Mars (Bally 1995),Attack from Mars (Bally 1995),Attack from Mars (Bally 1995),,Bally,1995,4,SS,,Aliens - Martians - Fantasy,http://www.ipdb.org/search.pl?any=attack+from+mars&search=Search+Database&searchtype=quick,,,Brian Eddy,"Xenonph, Dozer, JPSalas, Cyberpez, ICPJuggla, HauntFreaks",1.0,afm_113b,
Attack from Mars (Bally 1995),Attack from Mars (Bally 1995),Attack from Mars (Bally 1995),,Bally,1995,4,SS,,Aliens - Martians - Fantasy,http://www.ipdb.org/search.pl?any=attack+from+mars&search=Search+Database&searchtype=quick,,,Brian Eddy,"G5k, DJRobX, Tom Tower, JimmyFingers, Arrie, Virriguy, CK, Peter Docter",1.1,afm_113b,
Attack from Mars (Bally 1995),Attack from Mars (Bally 1995),Attack from Mars (Bally 1995),,Bally,1995,4,SS,,Aliens - Martians - Fantasy,http://www.ipdb.org/search.pl?any=attack+from+mars&search=Search+Database&searchtype=quick,,,Brian Eddy,"Dozer, ICP Juggla, Hauntfreaks",1.0,afm_113b,
